"Node id (0-based)","[0] vertex (==1)","[1] degree","[2] 2-path","[3] bifork","[4] 3-cycle"
929,1,10,51,29,16
930,1,3,8,2,1
931,1,4,15,5,1
932,1,6,53,11,4
933,1,10,82,39,6
934,1,1,3,0,0
935,1,11,73,39,16
936,1,5,37,7,3
937,1,7,41,17,4
938,1,5,34,9,1
939,1,5,18,7,3
940,1,5,30,7,3
941,1,9,54,29,7
942,1,6,26,14,1
943,1,2,13,1,0
944,1,0,0,-0,0
945,1,13,92,23,55
946,1,6,37,13,2
947,1,1,0,0,0
948,1,15,118,65,40
949,1,8,47,26,2
950,1,2,12,1,0
951,1,8,71,23,5
952,1,12,97,45,21
953,1,8,52,20,8
954,1,7,51,18,3
955,1,6,26,13,2
956,1,8,52,22,6
957,1,9,67,25,11
958,1,7,38,19,2
959,1,4,14,6,0
960,1,5,23,8,2
961,1,5,44,8,2
962,1,17,208,103,33
963,1,16,141,72,48
964,1,13,64,12,66
965,1,15,87,67,38
966,1,6,61,14,1
967,1,5,47,7,3
968,1,23,259,168,85
969,1,14,146,58,33
970,1,10,112,38,7
971,1,4,27,0,6
972,1,17,188,96,40
973,1,2,19,0,1
974,1,13,84,23,55
975,1,17,196,106,30
976,1,14,154,60,31
977,1,1,7,0,0
978,1,6,36,9,6
979,1,15,90,58,47
980,1,7,50,16,5
981,1,15,137,58,47
982,1,22,288,137,94
983,1,7,19,16,5
984,1,7,28,6,15
985,1,5,18,9,1
986,1,2,8,0,1
987,1,20,235,129,61
988,1,3,5,2,1
989,1,19,205,135,36
990,1,13,99,12,66
991,1,6,35,0,15
992,1,8,54,21,7
993,1,7,51,19,2
994,1,7,41,19,2
995,1,7,43,20,1
996,1,15,108,39,66
997,1,4,14,4,2
998,1,13,115,41,37
999,1,3,22,2,1
1000,1,6,33,11,4
1001,1,8,52,19,9
1002,1,6,53,11,4
1003,1,11,89,48,7
1004,1,21,179,127,83
1005,1,15,105,71,34
1006,1,5,20,4,6
1007,1,4,5,4,2
1008,1,4,9,4,2
1009,1,5,14,6,4
1010,1,11,138,38,17
1011,1,7,29,15,6
1012,1,8,37,21,7
1013,1,4,13,0,6
1014,1,5,16,4,6
1015,1,9,41,27,9
1016,1,11,94,41,14
1017,1,14,122,60,31
1018,1,7,40,17,4
1019,1,7,32,19,2
1020,1,3,15,3,0
1021,1,2,10,1,0
1022,1,5,33,9,1
1023,1,7,35,18,3
1024,1,7,36,18,3
1025,1,9,65,29,7
1026,1,11,53,42,13
1027,1,9,46,28,8
1028,1,5,38,9,1
1029,1,3,13,3,0
1030,1,2,3,1,0
1031,1,3,12,2,1
1032,1,12,76,58,8
1033,1,5,39,8,2
1034,1,10,70,40,5
1035,1,0,0,-0,0
